name,email,gender,institution,team_name,use_institution_prefix
Goldilocks Tunnelly,GoldilocksTunnelly@dayrep.com,female,Viridian,1,TRUE
Oscar Croft,OscarCroft@teleworm.us,male,Viridian,1,TRUE
Murilo Castro,MuriloCavalcantiCastro@gustr.com,male,Viridian,1,TRUE
Grimalda Sackville-Baggins,GrimaldaSackville-Baggins@gustr.com,female,Viridian,2,TRUE
Kazj Keraz,KazjKeraz@gustr.com,male,Viridian,2,TRUE
Tomba Sackville,TombaSackville@fleckens.hu,male,Viridian,2,TRUE
Akihito Takai,AkihitoTakai@armyspy.com,male,Pewter,1,TRUE
Marente Trommel,MarenteTrommel@rhyta.com,female,Pewter,1,TRUE
Elina Rolink,ElinaRolink@gustr.com,female,Pewter,1,TRUE
Barak Surgh,BarakSurgh@teleworm.us,male,Pewter,2,TRUE
Brooke Colson,BrookeColson@jourrapide.com,female,Pewter,2,TRUE
B'Grena Noj,BGrenaNoj@einrot.com,female,Pewter,2,TRUE
Barbara Copeland,BarbaraSCopeland@dayrep.com,female,Celadon,1,TRUE
Minako Tani,MinakoTani@dayrep.com,female,Celadon,1,TRUE
Gruffo Baggins,GruffoBaggins@teleworm.us,male,Celadon,1,TRUE
Sira Gannik,SiraGannik@armyspy.com,female,Celadon,2,TRUE
Asude Zwarts,AsudeZwarts@gustr.com,female,Celadon,2,TRUE
Duenna Smallburrow,DuennaSmallburrow@rhyta.com,female,Celadon,2,TRUE
Salvia Chubb-Baggins,SalviaChubb-Baggins@jourrapide.com,female,,Hybrid,FALSE
Frank Fenstermacher,FrankFenstermacher@rhyta.com,male,,Hybrid,FALSE
Dylan Middleton,DylanMiddleton@rhyta.com,male,,Hybrid,FALSE
Fre-weini Berhane,Fre-weiniBerhane@dayrep.com,female,Fuchsia,1,TRUE
Martino Li Fonti,MartinoLiFonti@teleworm.us,male,Fuchsia,1,TRUE
Sean Jackson,SeanJackson@rhyta.com,male,Fuchsia,1,TRUE
Olivia Hipkiss,OliviaHipkiss@einrot.com,female,Saffron,1,TRUE
Primrose Clayhanger,PrimroseClayhanger@jourrapide.com,female,Saffron,1,TRUE
Charlotte Rohu,CharlotteRohu@dayrep.com,female,Saffron,1,TRUE
Jessica Mosman,JessicaMosman@superrito.com,female,Earl's,1,TRUE
Michiaki Sanu,MichiakiSanu@fleckens.hu,male,Earl's,1,TRUE
Pamphila Took-Took,PamphilaTook-Took@einrot.com,female,Earl's,1,TRUE
Adiam Tekle,AdiamTekle@gustr.com,female,Earl's,Violet City,FALSE
Isabel Farmer,IsabelFarmer@jourrapide.com,female,Earl's,Violet City,FALSE
Wei P'an,WeiPan@cuvox.de,male,Earl's,Violet City,FALSE
Peng Sun,PengSun@fleckens.hu,male,Ecruteak,1,TRUE
Ana Sousa,AnaRibeiroSousa@cuvox.de,female,Ecruteak,1,TRUE
Yasmin Blake,YasminBlake@fleckens.hu,female,Ecruteak,1,TRUE
John Kirby,JohnKirby@fleckens.hu,male,Olivine,1,TRUE
Rafael Ribeiro,RafaelDiasRibeiro@rhyta.com,male,Olivine,1,TRUE
Alexa Quiñónez,AlexaQuinonezCanales@cuvox.de,female,Olivine,1,TRUE
Cara Banks,CaraBanks@teleworm.us,female,Goldenrod,1,TRUE
Yusef Mehari,YusefMehari@einrot.com,male,Goldenrod,1,TRUE
Kofuyu Katou,KofuyuKatou@fleckens.hu,female,Goldenrod,1,TRUE
Vinícius Lima,ViniciusBarbosaLima@cuvox.de,male,Goldenrod,2,TRUE
Ilke Broers,IlkeBroers@teleworm.us,female,Goldenrod,2,TRUE
Zharn Mentori,ZharnMentori@armyspy.com,male,Goldenrod,2,TRUE
Heng Mai,HengMai@teleworm.us,female,Goldenrod,3,TRUE
Arabella Labingi,ArabellaLabingi@fleckens.hu,female,Goldenrod,3,TRUE
Amérigo Chavarría,AmerigoChavarriaPuga@dayrep.com,male,Goldenrod,3,TRUE
Niamh Wilson,NiamhWilson@superrito.com,female,Blackthorn,1,TRUE
Caramella Twofoot,CaramellaTwofoot@teleworm.us,female,Blackthorn,1,TRUE
Stella Tisdall,StellaTisdall@rhyta.com,female,Blackthorn,1,TRUE
Gönül Riemens,GonulRiemens@einrot.com,female,Petalburg,1,TRUE
Mingmei Ho,MingmeiHo@teleworm.us,female,Petalburg,1,TRUE
Shinri Fujimoto,ShinriFujimoto@gustr.com,male,Petalburg,1,TRUE
Wang Peng,WangPeng@cuvox.de,male,Rustboro,1,TRUE
Letícia Cardoso,LeticiaCunhaCardoso@gustr.com,female,Rustboro,1,TRUE
Long Ts'ao,LongTsao@superrito.com,male,Rustboro,1,TRUE
Skye Glassop,SkyeGlassop@gustr.com,female,Mauville,1,TRUE
Tomás Santos,TomasMeloSantos@armyspy.com,male,Mauville,1,TRUE
Patrick Baxter,PatrickBaxter@dayrep.com,male,Mauville,1,TRUE
Lorenzo Rossi,LorenzoRossi@dayrep.com,male,Mauville,2,TRUE
Renata Foulds,RenataJFoulds@teleworm.us,female,Mauville,2,TRUE
Victor Souza,VictorSantosSouza@einrot.com,male,Mauville,2,TRUE
Heráclito Valentín,HeraclitoValentinNoriega@einrot.com,male,Mauville,3,TRUE
Klinka Simpalla,KlinkaSimpalla@dayrep.com,male,Mauville,3,TRUE
Claire Zinnbauer,ClaireZinnbauer@gustr.com,female,Mauville,3,TRUE
N'Lora Jarov,NLoraJarov@einrot.com,female,Lilycove,1,TRUE
Gira Messesh,GiraMessesh@einrot.com,female,Lilycove,1,TRUE
Christina Pride,ChristinaBPride@cuvox.de,female,Lilycove,1,TRUE
Luken Solís,LukenSolisCalvillo@armyspy.com,male,Lilycove,2,TRUE
Susane Almaraz,SusaneAlmarazEsparza@dayrep.com,female,Lilycove,2,TRUE
Reece Richardson,ReeceRichardson@teleworm.us,male,Lilycove,2,TRUE
