name,institution,test_score,institution_conflicts,team_conflicts,adj_conflicts,gender,adj_core,independent,trainee,email
Laila Filemonsen,Mithlond,5,,,,female,1,,,LailaFilemonsen@dayrep.com
Jana Fuchs,Erebor,5,,,Sofia Ricketson,female,1,,,JanaFuchs@jourrapide.com
Sonny Björk,Northern Mirkwood,5,,,,male,1,,,SonnyBjork@rhyta.com
Urszula Grabowska,Rivendell,5,,,,female,1,,,UrszulaGrabowska@cuvox.de
Loránd Herceg,Northern Mirkwood,5,Rivendell,,,male,1,,,HercegLorand@dayrep.com
Park P'eng,Éothéod,4,UG Lebennin,,Hrund Hrafnkelsdóttir,female,,1,,ParkPeng@cuvox.de
Caitlin Ingram,UG Lebennin,4,,,,female,,1,,CaitlinIngram@fleckens.hu
Reyna Chavez,Bree,5,,,,female,,1,,ReynaRChavez@jourrapide.com
Eleanor Weston,Ithilien,5,Isengard,,,female,,1,,EleanorWeston@armyspy.com
Masa Fujimura,Dale,5,,,,male,,1,,MasaFujimura@rhyta.com
Uchechukwu Ugorji,Dol Amroth,4,,,,female,,1,,UchechukwuUgorji@gustr.com
Lea Bumgarner,UG Ringló Vale,5,,,,female,,1,,LeaBumgarner@fleckens.hu
Marvin Lowery,Erebor,5,,,Abraham Welde,male,,1,,MarvinPLowery@cuvox.de
Marina Björgólfsson,Minas Tirith,5,,,,male,,1,,MarinaBjorgolfsson@rhyta.com
Christophe Salois,Staddle,5,,Southern Mirkwood NV,,male,,1,,ChristopheSalois@rhyta.com
Boubker Edelenbos,Erebor,5,,,,male,,,,BoubkerEdelenbos@cuvox.de
Lan Lê,Ithilien,3,,,,female,,,,LeThiChiLan@einrot.com
Klara Sandberg,Bree,3,RI Rohan,,,female,,,,KlaraSandberg@jourrapide.com
Camilla Evensen,Bree,2,,,,female,,,,CamillaEvensen@rhyta.com
Kosisochukwu Chidimma,UG Lebennin,2,,,,female,,,,KosisochukwuChidimma@fleckens.hu
Semere Awate,Pelargir,4,Ithilien,,,male,,,,SemereAwate@rhyta.com
Eduardo Pinto,Pelargir,1,,,,male,,,,EduardoCostaPinto@cuvox.de
Evelyn Pinto,Dorwinion,1,RI Rohan,,,female,,,,EvelynPereiraPinto@teleworm.us
Dario Marinović,Isengard,2,,,,male,,,,DarioMarinovic@fleckens.hu
Keiran White,Éothéod,3,,,,male,,,,KeiranWhite@superrito.com
Addison MacDonald,Minas Tirith,2,,,,female,,,,AddisonMacDonald@armyspy.com
Hana Haik,Ithilien,1,,,,female,,,,HanaSimahHaik@rhyta.com
Ivona Perić,Éothéod,2,,,,female,,,,IvonaPeric@fleckens.hu
Franco Marchesi,Éothéod,1,,,,male,,,,FrancoMarchesi@fleckens.hu
Rô Nghiêm,Lórien,1,,,,male,,,,NghiemNguyenRo@cuvox.de
Edita Rehberger,Edoras,4,,,,female,,,,EditaRehberger@rhyta.com
Theodor Mascarenas,RI Rohan,1,Northern Mirkwood,,,male,,,,TheodorMascarenasBarragan@armyspy.com
Megan Pearson,Northern Mirkwood,2,,Isengard TK,,female,,,,MeganPearson@teleworm.us
Tim Button,Éothéod,2,,,,male,,,,TimButton@einrot.com
Isak Jensen,Dale,2,,,,male,,,,IsakJensen@armyspy.com
Rashidah Bazzi,UG Ringló Vale,1,,,,female,,,,RashidahTasnimBazzi@teleworm.us
Olivia Lorenzen,RI Rohan,2,Bree,,,female,,,,OliviaNLorenzen@jourrapide.com
Sofia Ricketson,Staddle,2,,,,female,,,,SofiaRicketson@jourrapide.com
Thindra Jonasson,RI Rohan,1,,Mithlond BD,,female,,,,ThindraJonasson@rhyta.com
Facino Lombardi,Dale,1,,,,male,,,,FacinoLombardi@superrito.com
Yesenia Abramova,Caras Galadhon,5,,,,female,,,,YeseniaAbramova@rhyta.com
Cintio Armijo,RI Rohan,4,,,,male,,,,CintioArmijoRojas@gustr.com
Anzor Dratchev,Iron Hills,3,,,,male,,,,AnzorDratchev@fleckens.hu
