name,institution,team_name,use_institution_prefix,gender,email
Bahiyy al Din Awad,Arnor,AI,1,male,BahiyyalDinButrusAwad@fleckens.hu
Deodato Iadanza,Arnor,AI,1,male,DeodatoIadanza@superrito.com
Kosa Rošic,Arnor,RL,1,female,KosaRosic@gustr.com
Milton Lindholm,Arnor,RL,1,male,MiltonLindholm@jourrapide.com
Amadeusz Piotrowski,Arnor,PM,1,male,AmadeuszPiotrowski@armyspy.com
Martyna Mitchell,Arnor,PM,1,female,MartynaMitchell@gustr.com
Elvar Hallbjörnsson,Arnor,HL,1,male,ElvarHallbjornsson@jourrapide.com
Elizabeta Lučić,Arnor,HL,1,female,ElizabetaLucic@rhyta.com
May Boffin,Bree,BB,1,female,MayBoffin@cuvox.de
Manuela Brajković,Bree,BB,1,female,ManuelaBrajkovic@gustr.com
Beata Trentini,Bree,TE,1,female,BeataTrentini@teleworm.us
Marie Ebersbach,Bree,TE,1,female,MarieEbersbach@fleckens.hu
Leonor Carvalho,Bree,CC,1,female,LeonorCostaCarvalho@jourrapide.com
Władysława Czerwinska,Bree,CC,1,female,WladyslawaCzerwinska@jourrapide.com
Edipo Sánchez,Caras Galadhon,SD,1,male,EdipoSanchezReyna@jourrapide.com
Aron Dang,Caras Galadhon,SD,1,male,AronDang@einrot.com
Nevenka Šimić,Caras Galadhon,ŠM,1,female,NevenkaSimic@jourrapide.com
Mike Møller,Caras Galadhon,ŠM,1,male,MikeAMller@einrot.com
Noah Shah,Dale,SP,1,male,NoahShah@cuvox.de
Petr Petrů,Dale,SP,1,male,PetrPetru@gustr.com
Nnanna Nkemjika,Dale,NS,1,male,NnannaNkemjika@armyspy.com
Marmaduc Sandheaver,Dale,NS,1,male,MarmaducSandheaver@teleworm.us
Jaromir Alekseeva,Dale,AP,1,male,JaromirAlekseeva@dayrep.com
Hanne Poulsen,Dale,AP,1,female,HannePoulsen@einrot.com
Kirika Yamamura,Dale,YÓ,1,female,KirikaYamamura@jourrapide.com
