name,institution,test_score,institution_conflicts,team_conflicts,adj_conflicts,gender,pronoun,adj_core,independent,novice,phone,email,notes
Levi Flores,Yale University,5,,,"Justin Ford, Jo Allen",M,he,1,0,0,(400) 258-4262,leviflores@fakemail.com,
Boyd Pierce,Stanford University,5,,,,M,he,1,1,0,(645) 106-7743,boydpierce@fakemail.com,
Eunice Mcbride,University of Toronto,5,,,,F,she,,0,0,(549) 309-9187,eunicemcbride@fakemail.com,
Ramona Cobb,California Institute of Technology,1,Princeton,,,F,she,,1,0,(440) 487-5776,ramonacobb@fakemail.com,
Justin Ford,California Institute of Technology,,,"Caltech CustomRef, Yale 2",,M,he,,0,0,(618) 921-9188,justinford@fakemail.com,
Luis Bennett,Columbia University,2,,,,M,he,,0,0,(730) 097-8797,luisbennett@fakemail.com,
Mandy Estrada,Cornell University,5,,,,F,she,,1,0,(559) 299-0471,mandyestrada@fakemail.com,
Leigh Mcgee,Harvard University,4,,,,F,she,,0,0,(844) 760-9302,leighmcgee@fakemail.com,
Jacqueline Freeman,Harvard University,5,Toronto,Caltech 2,,F,she,1,1,0,(297) 916-1716,jacquelinefreeman@fakemail.com,
Holly Howard,University of Toronto,,Harvard,,,F,she,,1,0,(958) 783-2610,,
Pedro Burgess,University of Toronto,4,,,,,,,0,,(854) 441-0104,pedroburgess@fakemail.com,
Kristy Carr,Stanford University,4,,MIT 2,,M,he,,0,1,(644) 607-3297,kristycarr@fakemail.com,
Wilma Vaughn,Johns Hopkins University,4,,,Virginia Mccarthy,F,she,,1,1,(398) 759-9537,wilmavaughn@fakemail.com,
Virginia Mccarthy,Johns Hopkins University,2,,,Wilma Vaughn,F,she,,0,1,(455) 177-0459,virginiamccarthy@fakemail.com,
Tasha Jenkins,Massachusetts Institute of Technology,2,"Cornell,Penn,Yale",Stan 1,,,,,1,,(875) 519-9891,tashajenkins@fakemail.com,
Toby Wong,Massachusetts Institute of Technology,5,Berkeley,,,M,he,,0,0,(404) 641-5999,,
Jo Allen,Princeton University,2,,MIT 2,,M,he,,0,0,(761) 993-2983,joallen@fakemail.com,
Billy Griffin,Princeton University,2,,,,M,he,0,0,0,(430) 532-2939,billygriffin@fakemail.com,
Angela Reed,Stanford University,1,,Chicago 1,,F,she,0,0,0,(936) 500-1228,angelareed@fakemail.com,
Hugo Lewis,Stanford University,,,,,M,they,0,0,0,(422) 585-9609,hugolewis@fakemail.com,
Cassandra Wilson,"University of California, Berkeley",4,,Yale 2,,F,she,,,0,(604) 306-2084,cassandrawilson@fakemail.com,
George Willis,University of Chicago,2,Johns Hopkins University,,,M,he,,0,0,(222) 204-5944,georgewillis@fakemail.com,
Jamie Hodges,University of Chicago,3,,,,F,she,,0,,(737) 122-6102,jamiehodges@fakemail.com,
Bennie Rodriguez,University of Pennsylvania,2,Stan,,,F,she,,0,,(537) 641-2175,bennierodriguez@fakemail.com,
Allison Martin,Yale University,4,,,,F,she,,,0,(525) 384-2715,allisonmartin@fakemail.com,
Kristi Elliott,Yale University,3,,,,F,she,,0,0,(790) 289-5430,kristielliott@fakemail.com,
Pearl Graves,Johns Hopkins University,5,,,Allison Martin,F,she,,,0,(317) 721-2439,,
