name,institution,team_name,use_institution_prefix,gender,pronoun,email
Georgia Crawford,,Hybrid Team,0,F,she,georgiacrawford@fakemail.com
Wanda Griffin,,Hybrid Team,0,F,she,wandagriffin@fakemail.com
Helen Keller,,Hybrid Team,0,F,she,helenkeller@fakemail.com
Kyle Ruiz,California Institute of Technology,1,1,M,he,kyleruiz@fakemail.com
Randolph Lambert,California Institute of Technology,1,1,M,,randolphlambert@fakemail.com
Sergio Pittman,California Institute of Technology,1,1,M,he,sergiopittman@fakemail.com
Russell Warren,California Institute of Technology,2,1,M,he,russellwarren@fakemail.com
Angel Rhodes,California Institute of Technology,2,1,,they,angelrhodes@fakemail.com
Terry Henderson,California Institute of Technology,2,1,M,he,terryhenderson@fakemail.com
Earnest Becker,Columbia University,1,1,M,he,earnestbecker@fakemail.com
Ellis Rowe,Columbia University,1,1,M,he,ellisrowe@fakemail.com
Robin Roberson,Columbia University,1,1,M,he,robinroberson@fakemail.com
Gwen Newman,Cornell University,1,1,F,she,gwennewman@fakemail.com
Robyn Caldwell,Cornell University,1,1,F,,robyncaldwell@fakemail.com
Angie Holt,Cornell University,1,1,F,she,angieholt@fakemail.com
Melvin Jordan,Harvard University,1,1,M,he,melvinjordan@fakemail.com
Gladys Burke,Harvard University,1,1,F,,gladysburke@fakemail.com
Patty Saunders,Harvard University,1,1,M,he,pattysaunders@fakemail.com
Thomas Pierce,Harvard University,2,1,M,he,
Stella Lindsey,Harvard University,2,1,F,she,stellalindsey@fakemail.com
Adrian May,Harvard University,2,1,M,he,adrianmay@fakemail.com
Taylor Brown,Johns Hopkins University,1,1,M,,taylorbrown@fakemail.com
Bethany Chambers,Johns Hopkins University,1,1,M,he,bethanychambers@fakemail.com
Pamela Bryan,Johns Hopkins University,1,1,F,she,pamelabryan@fakemail.com
Janet Nunez,Massachusetts Institute of Technology,1,1,F,she,janetnunez@fakemail.com
Owen Chandler,Massachusetts Institute of Technology,1,1,M,,owenchandler@fakemail.com
Lillie Rodriquez,Massachusetts Institute of Technology,1,1,F,she,lillierodriquez@fakemail.com
Rufus Dennis,Massachusetts Institute of Technology,2,1,M,he,rufusdennis@fakemail.com
Marty Love,Massachusetts Institute of Technology,2,1,M,he,martylove@fakemail.com
Shelia Wright,Massachusetts Institute of Technology,2,1,F,she,sheliawright@fakemail.com
Clark Mills,Princeton University,1,1,M,he,clarkmills@fakemail.com
Randy Carroll,Princeton University,1,1,M,he,randycarroll@fakemail.com
Casey Sparks,Princeton University,1,1,M,he,caseysparks@fakemail.com
Candace Bowen,Princeton University,2,1,F,she,candacebowen@fakemail.com
Jaime Long,Princeton University,2,1,M,he,jaimelong@fakemail.com
Leon Hall,Princeton University,2,1,M,he,leonhall@fakemail.com
Morris Nichols,Stanford University,1,1,M,he,morrisnichols@fakemail.com
Benjamin Padilla,Stanford University,1,1,M,he,benjaminpadilla@fakemail.com
Phil Lyons,Stanford University,1,1,M,he,phillyons@fakemail.com
Clay Holland,Stanford University,2,1,M,he,clayholland@fakemail.com
Elena Cobb,Stanford University,2,1,F,she,elenacobb@fakemail.com
Shawn Torres,Stanford University,2,1,M,he,shawntorres@fakemail.com
Willis Carson,Stanford University,3,1,M,he,williscarson@fakemail.com
Wendell Nelson,Stanford University,3,1,F,she,wendellnelson@fakemail.com
Felicia Welch,Stanford University,3,1,F,she,feliciawelch@fakemail.com
Cory Meyer,"University of California, Berkeley",1,1,M,he,corymeyer@fakemail.com
Stacy Frazier,"University of California, Berkeley",1,1,F,she,stacyfrazier@fakemail.com
Claire Dunn,"University of California, Berkeley",1,1,F,she,clairedunn@fakemail.com
Eloise Munoz,University of Chicago,1,1,M,he,
Patricia Palmer,University of Chicago,1,1,M,he,patriciapalmer@fakemail.com
Stewart Day,University of Chicago,1,1,M,he,stewartday@fakemail.com
Timmy Craig,University of Chicago,2,1,M,he,timmycraig@fakemail.com
Patrick Kelly,University of Chicago,2,1,M,he,patrickkelly@fakemail.com
Kristopher Hayes,University of Chicago,2,1,M,he,
Andy Lane,University of Chicago,3,1,M,he,andylane@fakemail.com
Scott Mcdonald,University of Chicago,3,1,M,he,scottmcdonald@fakemail.com
Charlene Cortez,University of Chicago,3,1,M,he,charlenecortez@fakemail.com
Leigh Holmes,University of Pennsylvania,1,1,F,,leighholmes@fakemail.com
Alma Spencer,University of Pennsylvania,1,1,F,she,almaspencer@fakemail.com
Winston Castro,University of Pennsylvania,1,1,M,he,
Emilio Simmons,University of Pennsylvania,2,1,M,he,emiliosimmons@fakemail.com
Ron Delgado,University of Pennsylvania,2,1,,he,rondelgado@fakemail.com
Nadine Barber,University of Pennsylvania,2,1,M,he,nadinebarber@fakemail.com
Gail Adkins,Yale University,That Team from Yale,,,he,gailadkins@fakemail.com
Willard Walton,Yale University,That Team from Yale,,M,,willardwalton@fakemail.com
Jackie Peterson,Yale University,That Team from Yale,,M,he,jackiepeterson@fakemail.com
Terry Thornton,Yale University,2,1,,they,terrythornton@fakemail.com
Norman Rodgers,Yale University,2,1,M,he,normanrodgers@fakemail.com
Mattie Lee,Yale University,2,1,,they,mattielee@fakemail.com
Woodrow Harvey,Yale University,3,1,M,he,woodrowharvey@fakemail.com
Javier Chavez,Yale University,3,1,,,javierchavez@fakemail.com
Janie Daniels,Yale University,3,1,F,she,janiedaniels@fakemail.com
