name,institution,rating,institution_conflicts,team_conflicts
Ramona Cobb,RMIT University,1,Victoria University,
Justin Ford,RMIT University,5,,
Luis Bennett,Melbourne University,2,,
Mandy Estrada,Monash University,5,,Caltech 1
Leigh Mcgee,Victoria University,4,,
Jacqueline Freeman,Victoria University,5,,Caltech 2
Wilma Vaughn,Auckland University,4,,
Virginia Mccarthy,Auckland University,2,,
Pearl Graves,Auckland University,5,,
Tasha Jenkins,Otago University,2,"Auckland University, Victoria University",MIT 1
Toby Wong,Otago University,5,RMIT University,
