name,institution,rating,gender,trainee,cellphone,email,notes,institution_conflicts,team_conflicts
Muje,Adjudication Core,5,M,0,614444444,test@gmail.com,,,
Wion,Young Hacks,5,M,0,614444444,test@gmail.com,,,
Hall,Social Justice League,1,F,0,614444444,test@gmail.com,,,
Lest,University of University,2,F,0,614444444,test@gmail.com,,,
Heet,Social Justice League,5,M,0,614444444,test@gmail.com,,,
Moet,University of University,4,F,0,614444444,test@gmail.com,,,
Swst,Business School of Business,3,M,0,614444444,test@gmail.com,,,
Beon,Old Hacks,1,M,0,614444444,test@gmail.com,,,
Shoy,Business School of Business,3,F,1,614444444,test@gmail.com,,,
More,University of University,5,M,1,614444444,test@gmail.com,,,
Tele,University of Foreignland,5,F,1,614444444,test@gmail.com,,,
Biop,Moderate Cabal,2,M,,614444444,test@gmail.com,,,
Chol,Moderate Cabal,3,F,,614444444,test@gmail.com,,,
Coel,University of Foreignland,1,F,1,614444444,,,,
Besk,Old Hacks,4,M,,,,,,
