name,institution,team_name,use_team_name_as_prefix,gender,pronoun,novice_status
Georgia Crawford,California Institute of Technology,1,1,F,she,0
Wanda Griffin,California Institute of Technology,1,1,F,she,1
Helen Keller,California Institute of Technology,1,1,F,she,0
Russell Warren,California Institute of Technology,2,1,M,he,0
Angel Rhodes,California Institute of Technology,2,1,,they,1
Terry Henderson,California Institute of Technology,2,1,M,he,0
Kyle Ruiz,California Institute of Technology,3,1,M,he,0
Randolph Lambert,California Institute of Technology,3,1,M,,1
Sergio Pittman,California Institute of Technology,3,1,M,he,0
Earnest Becker,Columbia University,1,1,M,he,0
Ellis Rowe,Columbia University,1,1,M,he,0
Robin Roberson,Columbia University,1,1,M,he,1
Gwen Newman,Cornell University,1,1,F,she,1
Robyn Caldwell,Cornell University,1,1,F,,0
Angie Holt,Cornell University,1,1,F,she,1
Melvin Jordan,Harvard University,1,1,M,he,0
Gladys Burke,Harvard University,1,1,F,,0
Patty Saunders,Harvard University,1,1,M,he,1
Thomas Pierce,Harvard University,2,1,M,he,1
Stella Lindsey,Harvard University,2,1,F,she,1
Adrian May,Harvard University,2,1,M,he,1
Taylor Brown,Johns Hopkins University,1,1,M,,0
Bethany Chambers,Johns Hopkins University,1,1,M,he,1
Pamela Bryan,Johns Hopkins University,1,1,F,she,1
Janet Nunez,Massachusetts Institute of Technology,1,1,F,she,1
Owen Chandler,Massachusetts Institute of Technology,1,1,M,,1
Lillie Rodriquez,Massachusetts Institute of Technology,1,1,F,she,1
Rufus Dennis,Massachusetts Institute of Technology,2,1,M,he,0
Marty Love,Massachusetts Institute of Technology,2,1,M,he,1
Shelia Wright,Massachusetts Institute of Technology,2,1,F,she,0
Clark Mills,Princeton University,1,1,M,he,1
Randy Carroll,Princeton University,1,1,M,he,1
Casey Sparks,Princeton University,1,1,M,he,1
Candace Bowen,Princeton University,2,1,F,she,1
Jaime Long,Princeton University,2,1,M,he,1
Leon Hall,Princeton University,2,1,M,he,0
Morris Nichols,Stanford University,1,1,M,he,0
Benjamin Padilla,Stanford University,1,1,M,he,1
Phil Lyons,Stanford University,1,1,M,he,1
Clay Holland,Stanford University,2,1,M,he,1
Elena Cobb,Stanford University,2,1,F,she,0
Shawn Torres,Stanford University,2,1,M,he,0
Willis Carson,Stanford University,3,1,M,he,1
Wendell Nelson,Stanford University,3,1,F,she,1
Felicia Welch,Stanford University,3,1,F,she,1
Cory Meyer,"University of California, Berkeley",1,1,M,he,1
Stacy Frazier,"University of California, Berkeley",1,1,F,she,1
Claire Dunn,"University of California, Berkeley",1,1,F,she,0
Eloise Munoz,University of Chicago,1,1,M,he,1
Patricia Palmer,University of Chicago,1,1,M,he,1
Stewart Day,University of Chicago,1,1,M,he,1
Timmy Craig,University of Chicago,2,1,M,he,1
Patrick Kelly,University of Chicago,2,1,M,he,0
Kristopher Hayes,University of Chicago,2,1,M,he,1
Andy Lane,University of Chicago,3,1,M,he,1
Scott Mcdonald,University of Chicago,3,1,M,he,1
Charlene Cortez,University of Chicago,3,1,M,he,1
Leigh Holmes,University of Pennsylvania,1,1,F,,0
Alma Spencer,University of Pennsylvania,1,1,F,she,0
Winston Castro,University of Pennsylvania,1,1,M,he,1
Emilio Simmons,University of Pennsylvania,2,1,M,he,0
Ron Delgado,University of Pennsylvania,2,1,,he,1
Nadine Barber,University of Pennsylvania,2,1,M,he,0
Gail Adkins,Yale University,1,1,,he,0
Willard Walton,Yale University,1,1,M,,0
Jackie Peterson,Yale University,1,1,M,he,1
Terry Thornton,Yale University,2,1,,they,1
Norman Rodgers,Yale University,2,1,M,he,0
Mattie Lee,Yale University,2,1,,they,0
Woodrow Harvey,Yale University,3,1,M,he,1
Javier Chavez,Yale University,3,1,,,0
Janie Daniels,Yale University,3,1,F,she,0
